"year","indicator","disaggregation","disagg.value","component","rec","unit","year_range","value.unweighted","value","value.sum","total.pop","n","N","region"
"1999","adult_obesity","gender","Female","H",,,"",0.163075574186628,"0.0955895117934714",30.8212835212728,5977061.551,189,,"World"
"1999","adult_obesity","gender","Male","H",,,"",0.0973887351066628,"0.0589795264025039",18.4064709351593,5977061.551,189,,"World"
"2000","adult_obesity","gender","Female","H",,,"",0.166648122808862,"0.0980201145749139",31.4964952108749,6054244.179,189,,"World"
"2000","adult_obesity","gender","Male","H",,,"",0.100514122177578,"0.0610603751129056",18.9971690915622,6054244.179,189,,"World"
"2001","adult_obesity","gender","Female","H",,,"",0.170281047916336,"0.100510541875198",32.1831180561875,6131761.246,189,,"World"
"2001","adult_obesity","gender","Male","H",,,"",0.103717166119037,"0.0632024350450644",19.602544396498,6131761.246,189,,"World"
"2002","adult_obesity","gender","Female","H",,,"",0.173974731159777,"0.103064285884346",32.8812241891978,6209667.78,189,,"World"
"2002","adult_obesity","gender","Male","H",,,"",0.106999325337097,"0.0654087937630626",20.2228724887114,6209667.78,189,,"World"
"2003","adult_obesity","gender","Female","H",,,"",0.17772602716116,"0.105688132460379",33.5902191334593,6288140.073,189,,"World"
"2003","adult_obesity","gender","Male","H",,,"",0.110362140859853,"0.0676851789448638",20.8584446225122,6288140.073,189,,"World"
"2004","adult_obesity","gender","Female","H",,,"",0.181533914590801,"0.10839410480377",34.3099098576614,6367336.66,189,,"World"
"2004","adult_obesity","gender","Male","H",,,"",0.113806938731264,"0.0700424865078998",21.509511420209,6367336.66,189,,"World"
"2005","adult_obesity","gender","Male","H",,,"",0.117335302228309,"0.0724886422177132",22.1763721211505,6447364.936,189,,"World"
"2005","adult_obesity","gender","Female","H",,,"",0.18539713625884,"0.111191544825071",35.0400587529208,6447364.936,189,,"World"
"2006","adult_obesity","gender","Male","H",,,"",0.120945145150566,"0.0750294681068913",22.858632433457,6528296.278,189,,"World"
"2006","adult_obesity","gender","Female","H",,,"",0.189317106900864,"0.114087900121095",35.7809332042634,6528296.278,189,,"World"
"2007","adult_obesity","gender","Male","H",,,"",0.124638415416788,"0.0776638607683864",23.556660513773,6610117.639,189,,"World"
"2007","adult_obesity","gender","Female","H",,,"",0.193295739501165,"0.117080311014679",36.5328947657202,6610117.639,189,,"World"
"2008","adult_obesity","gender","Male","H",,,"",0.128418488047374,"0.0803908180438401",24.2710942409537,6692726.167,189,,"World"
"2008","adult_obesity","gender","Female","H",,,"",0.197331406174717,"0.120160117767434",37.2956357670214,6692726.167,189,,"World"
"2009","adult_obesity","gender","Female","H",,,"",0.201421544250645,"0.123317284780965",38.0686718633719,6775954.829,189,,"World"
"2009","adult_obesity","gender","Male","H",,,"",0.132286490940906,"0.083205062421795",25.0021467878313,6775954.829,189,,"World"
"2010","adult_obesity","gender","Female","H",,,"",0.20556771844712,"0.1265452587331",38.8522987865057,6859643.18,189,,"World"
"2010","adult_obesity","gender","Male","H",,,"",0.136245379695986,"0.0861013651611833",25.7503767625413,6859643.18,189,,"World"
"2011","adult_obesity","gender","Male","H",,,"",0.140295120112441,"0.0890761857301115",26.5157777012514,6943742.825,189,,"World"
"2011","adult_obesity","gender","Female","H",,,"",0.209772678676701,"0.129842554481385",39.6470362698965,6943742.825,189,,"World"
"2012","adult_obesity","gender","Male","H",,,"",0.144442324490646,"0.0921401751611217",27.299599328732,7028170.761,189,,"World"
"2012","adult_obesity","gender","Female","H",,,"",0.214038224026323,"0.133212540445204",40.4532243409751,7028170.761,189,,"World"
"2013","adult_obesity","gender","Male","H",,,"",0.148695709796268,"0.095303621218504",28.1034891514946,7112680.638,189,,"World"
"2013","adult_obesity","gender","Female","H",,,"",0.218366263063127,"0.136657220784384",41.2712237189311,7112680.638,189,,"World"
"2014","adult_obesity","gender","Male","H",,,"",0.153064850270235,"0.0985797098435994",28.9292567010744,7196970.645,189,,"World"
"2014","adult_obesity","gender","Female","H",,,"",0.222759159540359,"0.140184611999272",42.1014811531278,7196970.645,189,,"World"
"2015","adult_obesity","gender","Male","H",,,"",0.157554419155934,"0.101979043563951",29.7777852204716,7280795.028,189,,"World"
"2015","adult_obesity","gender","Female","H",,,"",0.227214204907297,"0.143792021950315",42.9434847274792,7280795.028,189,,"World"
"2016","adult_obesity","gender","Male","H",,,"",0.162167848620004,"0.10549775666704",30.6497233891807,7364024.261,189,,"World"
"2016","adult_obesity","gender","Female","H",,,"",0.231733420501391,"0.147477958673692",43.797616474763,7364024.261,189,,"World"
"1999","adult_anemia","pregnancy","Pregnant women","I",,,"",37.3909090909091,"36.5511967022136",6992.1,6030408.207,187,,"World"
"1999","adult_anemia","pregnancy","Non-pregnant women","I",,,"",31.8855614973262,"32.3985519143646",5962.6,6030408.207,187,,"World"
"1999","adult_anemia","pregnancy","All women","I",,,"",32.2144385026738,"32.5986219412659",6024.1,6030408.207,187,,"World"
"2000","adult_anemia","pregnancy","Pregnant women","I",,,"",36.9320855614973,"36.2462001673616",6906.3,6108247.141,187,,"World"
